Page URN, Line URN
urn:cite2:hmt:e4.v1:30v,urn:cts:greekLit:tlg0012.tlg001.e4:3.310
urn:cite2:hmt:e4.v1:31r,urn:cts:greekLit:tlg0012.tlg001.e4:3.320
urn:cite2:hmt:e4.v1:31r,urn:cts:greekLit:tlg0012.tlg001.e4:3.339
urn:cite2:hmt:e4.v1:31v,urn:cts:greekLit:tlg0012.tlg001.e4:3.351
urn:cite2:hmt:e4.v1:31v,urn:cts:greekLit:tlg0012.tlg001.e4:3.365
urn:cite2:hmt:e4.v1:32r,urn:cts:greekLit:tlg0012.tlg001.e4:3.399
urn:cite2:hmt:e4.v1:32r,urn:cts:greekLit:tlg0012.tlg001.e4:3.426
urn:cite2:hmt:e4.v1:32v,urn:cts:greekLit:tlg0012.tlg001.e4:3.437
urn:cite2:hmt:e4.v1:32v,urn:cts:greekLit:tlg0012.tlg001.e4:3.447
urn:cite2:hmt:e4.v1:32v,urn:cts:greekLit:tlg0012.tlg001.e4:3.461
urn:cite2:hmt:e4.v1:33r,urn:cts:greekLit:tlg0012.tlg001.e4:4.25
urn:cite2:hmt:e4.v1:33v,urn:cts:greekLit:tlg0012.tlg001.e4:4.62
urn:cite2:hmt:e4.v1:33v,urn:cts:greekLit:tlg0012.tlg001.e4:4.81
urn:cite2:hmt:e4.v1:34r,urn:cts:greekLit:tlg0012.tlg001.e4:4.85
urn:cite2:hmt:e4.v1:34v,urn:cts:greekLit:tlg0012.tlg001.e4:4.153
urn:cite2:hmt:e4.v1:35r,urn:cts:greekLit:tlg0012.tlg001.e4:4.183
urn:cite2:hmt:e4.v1:35r,urn:cts:greekLit:tlg0012.tlg001.e4:4.188
urn:cite2:hmt:e4.v1:35v,urn:cts:greekLit:tlg0012.tlg001.e4:4.234
urn:cite2:hmt:e4.v1:36r,urn:cts:greekLit:tlg0012.tlg001.e4:4.242
urn:cite2:hmt:e4.v1:36r,urn:cts:greekLit:tlg0012.tlg001.e4:4.257
urn:cite2:hmt:e4.v1:36v,urn:cts:greekLit:tlg0012.tlg001.e4:4.313
urn:cite2:hmt:e4.v1:37r,urn:cts:greekLit:tlg0012.tlg001.e4:4.338
urn:cite2:hmt:e4.v1:37v,urn:cts:greekLit:tlg0012.tlg001.e4:4.358
urn:cite2:hmt:e4.v1:37v,urn:cts:greekLit:tlg0012.tlg001.e4:4.370
urn:cite2:hmt:e4.v1:37v,urn:cts:greekLit:tlg0012.tlg001.e4:4.376
urn:cite2:hmt:e4.v1:38r,urn:cts:greekLit:tlg0012.tlg001.e4:4.404
urn:cite2:hmt:e4.v1:38r,urn:cts:greekLit:tlg0012.tlg001.e4:4.422
urn:cite2:hmt:e4.v1:38r,urn:cts:greekLit:tlg0012.tlg001.e4:4.423
urn:cite2:hmt:e4.v1:38r,urn:cts:greekLit:tlg0012.tlg001.e4:4.427
urn:cite2:hmt:e4.v1:38v,urn:cts:greekLit:tlg0012.tlg001.e4:4.436
urn:cite2:hmt:e4.v1:38v,urn:cts:greekLit:tlg0012.tlg001.e4:4.452
urn:cite2:hmt:e4.v1:38v,urn:cts:greekLit:tlg0012.tlg001.e4:4.456
urn:cite2:hmt:e4.v1:41r,urn:cts:greekLit:tlg0012.tlg001.e4:5.111
urn:cite2:hmt:e4.v1:41v,urn:cts:greekLit:tlg0012.tlg001.e4:5.133
urn:cite2:hmt:e4.v1:42r,urn:cts:greekLit:tlg0012.tlg001.e4:5.161
urn:cite2:hmt:e4.v1:42r,urn:cts:greekLit:tlg0012.tlg001.e4:5.163
urn:cite2:hmt:e4.v1:42r,urn:cts:greekLit:tlg0012.tlg001.e4:5.171
urn:cite2:hmt:e4.v1:43r,urn:cts:greekLit:tlg0012.tlg001.e4:5.243
urn:cite2:hmt:e4.v1:43v,urn:cts:greekLit:tlg0012.tlg001.e4:5.280
urn:cite2:hmt:e4.v1:43v,urn:cts:greekLit:tlg0012.tlg001.e4:5.290
urn:cite2:hmt:e4.v1:44r,urn:cts:greekLit:tlg0012.tlg001.e4:5.348
urn:cite2:hmt:e4.v1:44v,urn:cts:greekLit:tlg0012.tlg001.e4:5.359
urn:cite2:hmt:e4.v1:45r,urn:cts:greekLit:tlg0012.tlg001.e4:5.421
urn:cite2:hmt:e4.v1:45v,urn:cts:greekLit:tlg0012.tlg001.e4:5.455
urn:cite2:hmt:e4.v1:45v,urn:cts:greekLit:tlg0012.tlg001.e4:5.464
urn:cite2:hmt:e4.v1:46r,urn:cts:greekLit:tlg0012.tlg001.e4:5.472
urn:cite2:hmt:e4.v1:46v,urn:cts:greekLit:tlg0012.tlg001.e4:5.519
urn:cite2:hmt:e4.v1:46v,urn:cts:greekLit:tlg0012.tlg001.e4:5.527
urn:cite2:hmt:e4.v1:46v,urn:cts:greekLit:tlg0012.tlg001.e4:5.529
urn:cite2:hmt:e4.v1:47v,urn:cts:greekLit:tlg0012.tlg001.e4:5.597
urn:cite2:hmt:e4.v1:47v,urn:cts:greekLit:tlg0012.tlg001.e4:5.601
urn:cite2:hmt:e4.v1:48r,urn:cts:greekLit:tlg0012.tlg001.e4:5.633
urn:cite2:hmt:e4.v1:49r,urn:cts:greekLit:tlg0012.tlg001.e4:5.714
urn:cite2:hmt:e4.v1:49v,urn:cts:greekLit:tlg0012.tlg001.e4:5.756
urn:cite2:hmt:e4.v1:49v,urn:cts:greekLit:tlg0012.tlg001.e4:5.762
urn:cite2:hmt:e4.v1:50r,urn:cts:greekLit:tlg0012.tlg001.e4:5.787
urn:cite2:hmt:e4.v1:51r,urn:cts:greekLit:tlg0012.tlg001.e4:5.872
urn:cite2:hmt:e4.v1:52v,urn:cts:greekLit:tlg0012.tlg001.e4:6.55
urn:cite2:hmt:e4.v1:52v,urn:cts:greekLit:tlg0012.tlg001.e4:6.67
urn:cite2:hmt:e4.v1:55r,urn:cts:greekLit:tlg0012.tlg001.e4:6.254
urn:cite2:hmt:e4.v1:55v,urn:cts:greekLit:tlg0012.tlg001.e4:6.605
urn:cite2:hmt:e4.v1:56r,urn:cts:greekLit:tlg0012.tlg001.e4:6.326
urn:cite2:hmt:e4.v1:57r,urn:cts:greekLit:tlg0012.tlg001.e4:6.407
urn:cite2:hmt:e4.v1:57v,urn:cts:greekLit:tlg0012.tlg001.e4:6.462
urn:cite2:hmt:e4.v1:58r,urn:cts:greekLit:tlg0012.tlg001.e4:6.476
urn:cite2:hmt:e4.v1:58r,urn:cts:greekLit:tlg0012.tlg001.e4:6.486
urn:cite2:hmt:e4.v1:58r,urn:cts:greekLit:tlg0012.tlg001.e4:6.505
urn:cite2:hmt:e4.v1:58v,urn:cts:greekLit:tlg0012.tlg001.e4:6.511
urn:cite2:hmt:e4.v1:58v,urn:cts:greekLit:tlg0012.tlg001.e4:6.520
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
urn:cite2:hmt:e4.v1:,
