"Folio","Image","IliadLine","ImageROI"
"urn:cite2:hmt:e4.v1:86r","urn:cite2:hmt:e4img.2017a:e4_465","urn:cts:greekLit:tlg0012.tlg001:10.95","urn:cite2:hmt:e4img.2017a:e4_465@0.08036,0.4717,0.2951,0.02976"
"urn:cite2:hmt:e4.v1:86r","urn:cite2:hmt:e4img.2017a:e4_465","urn:cts:greekLit:tlg0012.tlg001:10.96","urn:cite2:hmt:e4img.2017a:e4_465@0.07763,0.4906,0.2979,0.02612"
"urn:cite2:hmt:e4.v1:86r","urn:cite2:hmt:e4img.2017a:e4_465","urn:cts:greekLit:tlg0012.tlg001:10.97","urn:cite2:hmt:e4img.2017a:e4_465@0.07639,0.5081,0.3018,0.02794"
"urn:cite2:hmt:e4.v1:86r","urn:cite2:hmt:e4img.2017a:e4_465","urn:cts:greekLit:tlg0012.tlg001:10.98","urn:cite2:hmt:e4img.2017a:e4_465@0.07515,0.5273,0.2996,0.02249"
"urn:cite2:hmt:e4.v1:86r","urn:cite2:hmt:e4img.2017a:e4_465","urn:cts:greekLit:tlg0012.tlg001:10.99","urn:cite2:hmt:e4img.2017a:e4_465@0.07391,0.5450,0.3006,0.02530"
"urn:cite2:hmt:e4.v1:86r","urn:cite2:hmt:e4img.2017a:e4_465","urn:cts:greekLit:tlg0012.tlg001:10.100","urn:cite2:hmt:e4img.2017a:e4_465@0.07242,0.5640,0.3011,0.02249"
"urn:cite2:hmt:e4.v1:86r","urn:cite2:hmt:e4img.2017a:e4_465","urn:cts:greekLit:tlg0012.tlg001:10.101","urn:cite2:hmt:e4img.2017a:e4_465@0.07044,0.5822,0.2969,0.02646"
"urn:cite2:hmt:e4.v1:86r","urn:cite2:hmt:e4img.2017a:e4_465","urn:cts:greekLit:tlg0012.tlg001:10.102","urn:cite2:hmt:e4img.2017a:e4_465@0.05977,0.5984,0.3182,0.02877"
"urn:cite2:hmt:e4.v1:86r","urn:cite2:hmt:e4img.2017a:e4_465","urn:cts:greekLit:tlg0012.tlg001:10.103","urn:cite2:hmt:e4img.2017a:e4_465@0.06250,0.6177,0.3182,0.02877"
"urn:cite2:hmt:e4.v1:86r","urn:cite2:hmt:e4img.2017a:e4_465","urn:cts:greekLit:tlg0012.tlg001:10.104","urn:cite2:hmt:e4img.2017a:e4_465@0.06771,0.6296,0.3160,0.03092"
"urn:cite2:hmt:e4.v1:86r","urn:cite2:hmt:e4img.2017a:e4_465","urn:cts:greekLit:tlg0012.tlg001:10.105","urn:cite2:hmt:e4img.2017a:e4_465@0.06300,0.6485,0.3160,0.03092"
"urn:cite2:hmt:e4.v1:86r","urn:cite2:hmt:e4img.2017a:e4_465","urn:cts:greekLit:tlg0012.tlg001:10.106","urn:cite2:hmt:e4img.2017a:e4_465@0.06126,0.6680,0.3160,0.03092"
"urn:cite2:hmt:e4.v1:86r","urn:cite2:hmt:e4img.2017a:e4_465","urn:cts:greekLit:tlg0012.tlg001:10.107","urn:cite2:hmt:e4img.2017a:e4_465@0.06002,0.6867,0.3224,0.02778"
"urn:cite2:hmt:e4.v1:86r","urn:cite2:hmt:e4img.2017a:e4_465","urn:cts:greekLit:tlg0012.tlg001:10.108","urn:cite2:hmt:e4img.2017a:e4_465@0.06002,0.7063,0.3224,0.02778"
"urn:cite2:hmt:e4.v1:86r","urn:cite2:hmt:e4img.2017a:e4_465","urn:cts:greekLit:tlg0012.tlg001:10.109","urn:cite2:hmt:e4img.2017a:e4_465@0.06126,0.7229,0.3132,0.02877"
"urn:cite2:hmt:e4.v1:86r","urn:cite2:hmt:e4img.2017a:e4_465","urn:cts:greekLit:tlg0012.tlg001:10.110","urn:cite2:hmt:e4img.2017a:e4_465@0.05977,0.7389,0.3150,0.03373"
"urn:cite2:hmt:e4.v1:86r","urn:cite2:hmt:e4img.2017a:e4_465","urn:cts:greekLit:tlg0012.tlg001:10.111","urn:cite2:hmt:e4img.2017a:e4_465@0.05878,0.7588,0.3150,0.03373"
"urn:cite2:hmt:e4.v1:86r","urn:cite2:hmt:e4img.2017a:e4_465","urn:cts:greekLit:tlg0012.tlg001:10.112","urn:cite2:hmt:e4img.2017a:e4_465@0.05977,0.7781,0.3147,0.03208"
"urn:cite2:hmt:e4.v1:86r","urn:cite2:hmt:e4img.2017a:e4_465","urn:cts:greekLit:tlg0012.tlg001:10.113","urn:cite2:hmt:e4img.2017a:e4_465@0.06126,0.7976,0.3147,0.03208"
"urn:cite2:hmt:e4.v1:86r","urn:cite2:hmt:e4img.2017a:e4_465","urn:cts:greekLit:tlg0012.tlg001:10.114","urn:cite2:hmt:e4img.2017a:e4_465@0.05456,0.8110,0.3247,0.03522"
"urn:cite2:hmt:e4.v1:86r","urn:cite2:hmt:e4img.2017a:e4_465","urn:cts:greekLit:tlg0012.tlg001:10.115","urn:cite2:hmt:e4img.2017a:e4_465@0.04712,0.8320,0.3264,0.03175"
